trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
690,False,"{'a': 0.5, 'e': 0.0009832163179616421}",25,11,28.8188840435652,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
691,False,"{'a': 0.5, 'e': 0.0009733841547820256}",20,3,35.5844057662359,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
692,False,"{'a': 0.5, 'e': 0.0009636503132342054}",20,5,28.510552754542374,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
693,False,"{'a': 0.5, 'e': 0.0009540138101018634}",25,12,23.16175324358334,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
694,False,"{'a': 0.5, 'e': 0.0009444736720008447}",25,16,15.096432897780804,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
695,False,"{'a': 0.5, 'e': 0.0009350289352808363}",35,25,19.332962711487397,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
696,False,"{'a': 0.5, 'e': 0.0009256786459280278}",25,8,26.046333132876008,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
697,False,"{'a': 0.5, 'e': 0.0009164218594687476}",20,8,21.175424963407863,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
698,False,"{'a': 0.5, 'e': 0.0009072576408740601}",35,20,28.81947439136975,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
699,False,"{'a': 0.5, 'e': 0.0008981850644653195}",35,15,36.13650650762981,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
700,False,"{'a': 0.5, 'e': 0.0008892032138206663}",20,10,15.95214682230597,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
701,False,"{'a': 0.5, 'e': 0.0008803111816824596}",25,13,20.382527403887014,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
702,False,"{'a': 0.5, 'e': 0.000871508069865635}",30,12,36.43485082190057,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
703,False,"{'a': 0.5, 'e': 0.0008627929891669786}",20,8,23.69055119454728,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
704,False,"{'a': 0.5, 'e': 0.0008541650592753089}",25,11,23.976910521224937,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
705,False,"{'a': 0.5, 'e': 0.0008456234086825558}",30,20,21.12905093908452,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
706,False,"{'a': 0.5, 'e': 0.0008371671745957302}",25,10,26.020687038879466,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
707,False,"{'a': 0.5, 'e': 0.0008287955028497729}",20,10,19.732032632446895,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
708,False,"{'a': 0.5, 'e': 0.0008205075478212752}",30,18,20.272026781947854,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
709,False,"{'a': 0.5, 'e': 0.0008123024723430624}",20,14,12.701584351708197,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
710,False,"{'a': 0.5, 'e': 0.0008041794476196318}",25,12,24.100845455181155,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
711,False,"{'a': 0.5, 'e': 0.0007961376531434354}",20,15,11.328242818419517,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
712,False,"{'a': 0.5, 'e': 0.0007881762766120011}",25,8,29.414035304500928,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
713,False,"{'a': 0.5, 'e': 0.000780294513845881}",20,0,33.49175795661568,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
714,False,"{'a': 0.5, 'e': 0.0007724915687074222}",20,2,35.1107495180539,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
715,False,"{'a': 0.5, 'e': 0.000764766653020348}",25,17,16.385041281912358,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
716,False,"{'a': 0.5, 'e': 0.0007571189864901445}",25,14,18.34314934955406,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
717,False,"{'a': 0.5, 'e': 0.000749547796625243}",25,13,20.29236475874965,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
718,False,"{'a': 0.5, 'e': 0.0007420523186589907}",20,0,11.441959307970892,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
719,False,"{'a': 0.5, 'e': 0.0007346317954724008}",25,12,22.011771680990122,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
720,False,"{'a': 0.5, 'e': 0.0007272854775176767}",20,11,17.171496523256906,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
